Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Bryan Marquard,@BryanMarquard,May 27,"My friend Daniel (right, on keyboard) and I provided music at a Vermont wedding reception more than 40 years ago -- the memory now as blurry as this photo. We were so young. #memory #friendship",1,,27
The Pakistan,@thepakistan2021,May 29,"where are you going?

 #funnyanimal #funny #animal #farm #farming #cuteanimals #cute #naturelovers #AnimalLovers #bestfriendship #friendship #thepakistan

For More Visit: http://thepakistan.pk",,,
Andrew Kinzie,@andrewkinzie36,May 28,"Had a fun day Saturday with 
@HavenMullins8
 got a little muddy nothing better then hanging out with my best friend #BestFriends 
@MattMullins210",1,,6
Wipapa,@Wipapa5,May 28,And thank you for being the reason that I smile!  #FriendsForever ,1,1,1
Xaija ~ VTuber ~ New Baby Hiatus Arc ~,@XaijaHawk,May 28,"When my newborn can't sleep I stay up and look at art I got with friends 

Today i wanted to share the first pictures of my favorite Ducky and me

Maybe I'll make this a normal thing when my newborn can't sleep
#Vtubers #friendship #VtubersUprising",2,1,13
Mastihubz,@sarcatism123,May 29,"when friends doesn`t need you.....
#Friends #friendship #friend #girlfriends #girls #bestie #telugumovies #RamSiyaRam #ISRO #HappyBirthdayAtulKishan #MondayMotivation #Kendall #GTvsCSK #Hardikpandya #Msdhoni #Dhoniforever #ipl2023 #iplCup #Telugumemes #telugureels",,,1
Abhay Maurya,@AbhayMaury71744,May 30,Created with ToonMe app #toonme #friendship #editing,,,
Mangy Mongrel,@mongrel_mangy,May 29,A tale of two dogs. #dogs #pets #animals #bestfriends,,,
Inspiration by John,@LifeWithJohn,May 29,The best relationship is when you act like lovers and be best friends at the same time. ~ Not easy to find! ~ #BestFriends,,11,23
Maple Life TV,@MapleLifeTV,May 28,"How is social life in Vancouver different from social life in Egypt?  
#vancouver #egypt #friendship",3,1,2
MissC,@MissC191211,May 28,My guardian angels  #beautifulgirls #friendship,,,1
sharon,@sharonL33940258,May 29,"The World Inside Stephanie's Head Book 1 in the Stephanie Series Sharon Lopez 
@sharonL33940258
 https://books2read.com/u/bo8Qq1 #WolfPackAuthors #friendship #Romance #betrayal #iartg #ian1 #ASMSG #WritingCommunity #readerscommunity #readers #readingcommunity #indieauthor #books",,46,36
Lera Blog,@Lerablog1,May 29,"9 reasons why we lose #friends 
#friendship #friend",1,,2
Nick Montague,@montague_nick,May 27,"Great kids Stories -The Little Scamp's  - Sleepover Adventure: Nocturnal Animals & Farmhouse Fun   https://youtu.be/ojl8WhhQADM
#littlescamps #NocturnalAnimals #animals #sleepover #friendship #quizforkids #kidsquiz #KidsStories #storytime #kidsactivities",,1,
